area_fips,area_title,avg_emplvl_1990,avg_wkly_wage_1990,avg_emplvl_2015,avg_wkly_wage_2015,wage_pct_change
35017,"Grant County, New Mexico",8823,362,9230,800,1
35019,"Guadalupe County, New Mexico",1172,222,1457,524,1
35021,"Harding County, New Mexico",177,385,173,662,0
35023,"Hidalgo County, New Mexico",2125,335,1507,746,1
35025,"Lea County, New Mexico",19452,380,33048,999,1
35027,"Lincoln County, New Mexico",3916,288,6188,546,0
35028,"Los Alamos County, New Mexico",7052,419,14956,1396,2
35029,"Luna County, New Mexico",3966,272,7249,637,1
35031,"Mckinley County, New Mexico",16870,325,20553,582,0
35033,"Mora County, New Mexico",462,316,705,566,0
35035,"Otero County, New Mexico",15318,332,17494,649,0
35037,"Quay County, New Mexico",3263,307,2604,532,0
35039,"Rio Arriba County, New Mexico",6873,287,9399,587,1
35041,"Roosevelt County, New Mexico",4060,297,6063,608,1
35043,"Sandoval County, New Mexico",8695,359,28733,811,1
35045,"San Juan County, New Mexico",30350,411,50541,869,1
35047,"San Miguel County, New Mexico",6588,300,8281,559,0
35049,"Santa Fe County, New Mexico",40797,347,60068,776,1
35051,"Sierra County, New Mexico",2032,266,3241,530,0
35053,"Socorro County, New Mexico",4053,314,5172,661,1
35055,"Taos County, New Mexico",7860,262,10647,549,1
35057,"Torrance County, New Mexico",1800,275,3243,733,1
35059,"Union County, New Mexico",1136,275,1362,591,1
35061,"Valencia County, New Mexico",7710,281,13415,571,1
36001,"Albany County, New York",221199,470,227723,1005,1
36003,"Allegany County, New York",13922,378,13767,692,0
36005,"Bronx County, New York",202556,460,295042,902,0
36007,"Broome County, New York",102875,442,85298,756,0
36009,"Cattaraugus County, New York",30700,354,29590,735,1
36011,"Cayuga County, New York",23608,387,25255,765,0
36013,"Chautauqua County, New York",54587,358,49005,688,0
36015,"Chemung County, New York",39711,374,36175,841,1
36017,"Chenango County, New York",16686,380,17271,818,1
36019,"Clinton County, New York",30715,373,32224,769,1
36021,"Columbia County, New York",17505,355,20662,731,1
36023,"Cortland County, New York",19849,334,18247,675,1
36025,"Delaware County, New York",16699,356,14367,763,1
36027,"Dutchess County, New York",116706,552,107612,959,0
36029,"Erie County, New York",441366,421,452603,885,1
36031,"Essex County, New York",13421,358,14321,695,0
36033,"Franklin County, New York",15215,337,17577,727,1
36035,"Fulton County, New York",16503,346,16963,683,0
36037,"Genesee County, New York",21526,373,22253,717,0
36039,"Greene County, New York",12332,353,14467,737,1
36041,"Hamilton County, New York",1510,328,1667,584,0
36043,"Herkimer County, New York",18045,345,15772,645,0
36045,"Jefferson County, New York",37734,383,39827,710,0
36047,"Kings County, New York",408079,427,647337,814,0
36049,"Lewis County, New York",6151,369,6342,707,0
36051,"Livingston County, New York",18294,372,19733,665,0
36053,"Madison County, New York",17910,348,20237,712,1
36055,"Monroe County, New York",378694,546,372792,932,0
36057,"Montgomery County, New York",18262,335,17997,700,1
36059,"Nassau County, New York",587949,515,599079,1103,1
36061,"New York County, New York",2354315,798,2335946,2839,2
36063,"Niagara County, New York",80551,437,70534,761,0
36065,"Oneida County, New York",102784,395,101465,763,0
36067,"Onondaga County, New York",250117,454,238759,898,0
36069,"Ontario County, New York",36603,386,51329,895,1
36071,"Orange County, New York",103247,409,136714,806,0
36073,"Orleans County, New York",10887,365,12462,734,1
36075,"Oswego County, New York",33319,466,32780,838,0
36077,"Otsego County, New York",19843,349,22616,763,1
36079,"Putnam County, New York",17641,445,24908,895,1
36081,"Queens County, New York",459691,489,616684,935,0
36083,"Rensselaer County, New York",46729,389,50013,955,1
36085,"Richmond County, New York",70128,427,110793,826,0
36087,"Rockland County, New York",97889,494,115081,1014,1
36089,"St. Lawrence County, New York",34993,399,34560,760,0
36091,"Saratoga County, New York",48746,397,80492,882,1
36093,"Schenectady County, New York",63405,503,61028,1037,1
36095,"Schoharie County, New York",6982,350,7942,662,0
36097,"Schuyler County, New York",3956,368,4505,680,0
36099,"Seneca County, New York",10313,411,11117,954,1
36101,"Steuben County, New York",36306,489,36535,1203,1
36103,"Suffolk County, New York",505648,488,620367,1048,1
36105,"Sullivan County, New York",23061,375,24131,725,0
36107,"Tioga County, New York",13380,549,12465,966,0
36109,"Tompkins County, New York",42787,409,48573,946,1
36111,"Ulster County, New York",59620,471,57295,749,0
36113,"Warren County, New York",29503,389,36083,779,1
36115,"Washington County, New York",15650,414,15122,767,0
36117,"Wayne County, New York",25990,384,27566,775,1
36119,"Westchester County, New York",394244,571,408317,1412,1
36121,"Wyoming County, New York",11578,361,13523,764,1
36123,"Yates County, New York",4327,323,6531,625,0
37001,"Alamance County, North Carolina",54727,326,57548,704,1
37003,"Alexander County, North Carolina",9594,316,8896,575,0
37005,"Alleghany County, North Carolina",3143,254,3004,521,1
37007,"Anson County, North Carolina",9007,295,7552,591,1
37009,"Ashe County, North Carolina",6957,276,6466,597,1
37011,"Avery County, North Carolina",5726,265,6310,546,1
37013,"Beaufort County, North Carolina",18136,321,15242,686,1
37015,"Bertie County, North Carolina",6680,275,6344,552,1
37017,"Bladen County, North Carolina",7648,297,12712,634,1
37019,"Brunswick County, North Carolina",13316,417,28745,723,0
37021,"Buncombe County, North Carolina",83620,359,120557,727,1
37023,"Burke County, North Carolina",35952,344,29324,642,0
37025,"Cabarrus County, North Carolina",40657,360,67221,734,1
37027,"Caldwell County, North Carolina",30096,323,23058,633,0
37029,"Camden County, North Carolina",886,270,1387,727,1
37031,"Carteret County, North Carolina",15334,268,21383,575,1
37033,"Caswell County, North Carolina",2664,298,2967,585,0
37035,"Catawba County, North Carolina",83469,353,81758,761,1
37037,"Chatham County, North Carolina",12138,326,14156,635,0
37039,"Cherokee County, North Carolina",7287,274,7800,551,1
37041,"Chowan County, North Carolina",4723,302,4514,625,1
37043,"Clay County, North Carolina",1166,264,1979,526,0
37045,"Cleveland County, North Carolina",36021,360,33306,691,0
37047,"Columbus County, North Carolina",16120,329,15225,629,0
37049,"Craven County, North Carolina",30664,368,37981,778,1
37051,"Cumberland County, North Carolina",84660,349,116132,742,1
37053,"Currituck County, North Carolina",2205,292,5705,666,1
37055,"Dare County, North Carolina",9257,298,15513,589,0
37057,"Davidson County, North Carolina",46592,334,41367,665,0
37059,"Davie County, North Carolina",9284,311,11381,615,0
37061,"Duplin County, North Carolina",15182,279,19675,600,1
37063,"Durham County, North Carolina",122596,505,189346,1369,1
37065,"Edgecombe County, North Carolina",21114,332,16161,645,0
37067,"Forsyth County, North Carolina",144100,461,178833,1017,1
37069,"Franklin County, North Carolina",7248,295,11113,721,1
37071,"Gaston County, North Carolina",79380,362,69117,709,0
37073,"Gates County, North Carolina",1306,274,1402,560,1
37075,"Graham County, North Carolina",1622,281,1824,676,1
37077,"Granville County, North Carolina",14485,362,20119,805,1
37079,"Greene County, North Carolina",3118,296,4054,573,0
37081,"Guilford County, North Carolina",228283,424,271368,900,1
37083,"Halifax County, North Carolina",19300,315,15525,618,0
37085,"Harnett County, North Carolina",17651,294,23076,601,1
37087,"Haywood County, North Carolina",14193,371,16414,640,0
37089,"Henderson County, North Carolina",25766,350,34086,676,0
37091,"Hertford County, North Carolina",7879,289,8789,651,1
37093,"Hoke County, North Carolina",6834,294,7585,601,1
37095,"Hyde County, North Carolina",1171,263,1866,588,1
37097,"Iredell County, North Carolina",41013,338,68117,964,1
37099,"Jackson County, North Carolina",8609,313,12297,645,1
37101,"Johnston County, North Carolina",24985,303,44525,707,1
37103,"Jones County, North Carolina",1450,307,1503,642,1
37105,"Lee County, North Carolina",19744,344,24779,740,1
37107,"Lenoir County, North Carolina",28212,327,27337,651,0
37109,"Lincoln County, North Carolina",15355,323,21548,671,1
37111,"McDowell County, North Carolina",15571,313,15996,620,0
37113,"Macon County, North Carolina",6699,291,10390,591,1
37115,"Madison County, North Carolina",3295,288,3783,571,0
37117,"Martin County, North Carolina",9970,358,6987,518,0
37119,"Mecklenburg County, North Carolina",356561,482,624367,1397,1
37121,"Mitchell County, North Carolina",5163,273,4708,601,1
37123,"Montgomery County, North Carolina",10827,293,9237,613,1
37125,"Moore County, North Carolina",24648,312,32446,661,1
37127,"Nash County, North Carolina",40517,354,40144,742,1
37129,"New Hanover County, North Carolina",59027,367,102755,781,1
37131,"Northampton County, North Carolina",4224,300,5258,599,0
37133,"Onslow County, North Carolina",30058,272,48118,614,1
37135,"Orange County, North Carolina",40478,413,65268,953,1
37137,"Pamlico County, North Carolina",2369,235,3232,519,1
37139,"Pasquotank County, North Carolina",11755,297,15370,668,1
37141,"Pender County, North Carolina",5986,266,10257,606,1
37143,"Perquimans County, North Carolina",1820,239,1905,605,1
37145,"Person County, North Carolina",11362,327,9992,704,1
37147,"Pitt County, North Carolina",48448,349,74045,783,1
37149,"Polk County, North Carolina",3411,279,4777,556,0
37151,"Randolph County, North Carolina",41267,310,44045,636,1
37153,"Richmond County, North Carolina",17312,307,13441,594,0
37155,"Robeson County, North Carolina",35500,303,38312,584,0
37157,"Rockingham County, North Carolina",32162,356,25686,644,0
37159,"Rowan County, North Carolina",39490,378,45556,798,1
37161,"Rutherford County, North Carolina",23745,326,18122,588,0
37163,"Sampson County, North Carolina",14764,284,17905,655,1
37165,"Scotland County, North Carolina",15600,351,11631,657,0
37167,"Stanly County, North Carolina",21239,328,18516,599,0
37169,"Stokes County, North Carolina",5455,338,6948,559,0
37171,"Surry County, North Carolina",32566,306,27607,600,0
37173,"Swain County, North Carolina",4322,248,8409,636,1
37175,"Transylvania County, North Carolina",9244,426,8101,582,0
37177,"Tyrrell County, North Carolina",675,224,993,553,1
37179,"Union County, North Carolina",34944,349,58335,748,1
37181,"Vance County, North Carolina",18175,305,14811,611,1
37183,"Wake County, North Carolina",246381,418,496390,1038,1
37185,"Warren County, North Carolina",3776,282,3323,554,0
37187,"Washington County, North Carolina",3359,273,3477,751,1
37189,"Watauga County, North Carolina",14327,292,21609,627,1
